Player,Age,Team,Position,GP,GS,MP,FG,AFD,2_Point_Attempt%,Restricted_Area_Attempt%,Short_Midrange_Attempt%,Mid_Post_Attempt%,Long_Midrange_Attempt%,3_Point_Attempt%,Restricted_Area%,Short_Midrange%,Mid_Post%,Long_Midrange%,2P_Assisted%,3P_Assisted%,Dunks%,Dunks,Corner_3PA%,Corner_3P%,Heaves_Attempted,Heaves_Made,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Point_Per_Shot,PPG,TS%,FGA_Per_Game,3PA_Per_Game,FG_Per_Game,3P_Per_Game,FTA_Per_Game,FT_Per_Game,2P_Unassisted%,3P_Unassisted%,Unassisted_2PM,Unassisted_3PM
Julian Champagnie,22,SAS,SF,74,59,1468,164,18.4,0.311,0.194,0.09,0.012,0.015,0.689,0.641,0.306,0.0,0.333,0.857,0.98,0.067,19,0.329,0.363,0,0,402,0.408,101,277,0.365,63,125,0.504,0.534,75,92,0.815,42,164,206,103,48,42,57,77,504,1.07,6.81,56.95,5.43,3.74,2.22,1.36,1.24,1.01,0.14,0.02,49.0,99.0
Patrick Beverley,35,2TM,PG,73,13,1462,158,15.4,0.522,0.153,0.293,0.066,0.011,0.478,0.672,0.441,0.32,0.25,0.361,0.852,0.003,1,0.309,0.464,0,0,379,0.417,61,181,0.337,97,198,0.49,0.497,74,90,0.822,49,190,239,212,43,31,65,128,451,0.99,6.18,53.87,5.19,2.48,2.16,0.84,1.23,1.01,0.64,0.15,33.0,46.0
Amir Coffey,26,LAC,SF,70,13,1460,166,16.6,0.477,0.151,0.159,0.128,0.04,0.523,0.774,0.5,0.489,0.357,0.771,0.971,0.023,7,0.5,0.424,3,0,352,0.472,70,184,0.38,96,168,0.571,0.571,61,71,0.859,29,119,148,76,41,14,33,102,463,1.14,6.61,60.41,5.03,2.63,2.37,1.0,1.01,0.87,0.23,0.03,73.0,67.0
Isaiah Joe,24,OKC,SG,78,1,1445,222,21.3,0.272,0.091,0.041,0.07,0.07,0.728,0.773,0.4,0.5,0.471,0.76,0.966,0.039,15,0.212,0.413,2,0,485,0.458,147,353,0.416,75,132,0.568,0.609,45,52,0.865,32,148,180,99,46,22,47,87,636,1.22,8.15,62.61,6.22,4.53,2.85,1.88,0.67,0.58,0.24,0.03,51.0,144.0
Desmond Bane,25,MEM,SG,42,42,1443,360,15.9,0.536,0.216,0.168,0.061,0.091,0.464,0.72,0.377,0.553,0.38,0.404,0.613,0.009,7,0.144,0.442,2,0,776,0.464,137,360,0.381,223,416,0.536,0.552,140,161,0.87,36,149,185,230,43,22,112,120,997,1.1,23.74,58.87,18.48,8.57,8.57,3.26,3.83,3.33,0.6,0.39,163.0,98.0
Vince Williams Jr.,23,MEM,SG,52,33,1436,169,15.7,0.449,0.245,0.142,0.045,0.016,0.551,0.667,0.407,0.353,0.0,0.511,0.924,0.024,9,0.335,0.343,0,0,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,1.1,10.02,59.72,7.29,4.02,3.25,1.52,2.5,2.0,0.49,0.08,41.0,71.0
Isaiah Stewart,22,DET,PF,46,45,1423,186,13.5,0.542,0.301,0.212,0.018,0.01,0.458,0.635,0.519,0.429,0.25,0.723,1.0,0.071,21,0.349,0.361,0,0,382,0.487,67,175,0.383,119,207,0.575,0.575,64,85,0.753,74,231,305,73,17,38,66,99,503,1.15,10.93,59.97,8.3,3.8,4.04,1.46,1.85,1.39,0.28,0.0,91.0,67.0
Moritz Wagner,26,ORL,C,80,1,1415,332,7.6,0.792,0.504,0.272,0.005,0.009,0.208,0.799,0.46,0.333,0.4,0.796,0.974,0.091,48,0.322,0.324,1,0,552,0.601,38,115,0.33,294,437,0.673,0.636,166,204,0.814,117,230,347,96,39,21,97,160,868,1.27,10.85,67.63,6.9,1.44,4.15,0.48,2.55,2.08,0.2,0.03,274.0,35.0
Tyler Herro,24,MIA,SG,42,40,1407,324,17.0,0.547,0.086,0.197,0.166,0.098,0.453,0.587,0.49,0.467,0.375,0.417,0.811,0.008,4,0.12,0.475,1,0,735,0.441,132,333,0.396,192,402,0.478,0.531,95,111,0.856,19,203,222,188,30,3,93,63,875,1.06,20.83,55.81,17.5,7.93,7.71,3.14,2.64,2.26,0.58,0.19,134.0,113.0
Wendell Carter Jr.,24,ORL,C,55,48,1406,223,12.6,0.598,0.332,0.191,0.059,0.016,0.402,0.809,0.395,0.44,0.286,0.736,0.984,0.186,71,0.415,0.338,0,0,425,0.525,64,171,0.374,159,254,0.626,0.6,93,134,0.694,112,269,381,95,35,28,68,121,603,1.2,10.96,62.3,7.73,3.11,4.05,1.16,2.44,1.69,0.26,0.02,133.0,62.0
Onyeka Okongwu,23,ATL,C,55,8,1405,223,6.8,0.811,0.559,0.233,0.014,0.005,0.189,0.74,0.529,0.4,1.0,0.775,1.0,0.244,78,0.739,0.431,1,0,365,0.611,23,69,0.333,200,296,0.676,0.642,92,116,0.793,145,231,376,74,26,60,45,162,561,1.28,10.2,67.42,6.64,1.25,4.05,0.42,2.11,1.67,0.22,0.0,178.0,23.0
