Player,Age,Team,Position,GP,GS,MP,FG,AFD,2_Point_Attempt%,Restricted_Area_Attempt%,Short_Midrange_Attempt%,Mid_Post_Attempt%,Long_Midrange_Attempt%,3_Point_Attempt%,Restricted_Area%,Short_Midrange%,Mid_Post%,Long_Midrange%,2P_Assisted%,3P_Assisted%,Dunks%,Dunks,Corner_3PA%,Corner_3P%,Heaves_Attempted,Heaves_Made,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Point_Per_Shot,PPG,TS%,FGA_Per_Game,3PA_Per_Game,FG_Per_Game,3P_Per_Game,FTA_Per_Game,FT_Per_Game,2P_Unassisted%,3P_Unassisted%,Unassisted_2PM,Unassisted_3PM
Amen Thompson,21,HOU,SF,62,23,1388,239,6.9,0.87,0.518,0.251,0.054,0.047,0.13,0.714,0.464,0.292,0.333,0.481,0.875,0.217,88,0.293,0.118,1,0,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,1.09,9.55,57.57,7.19,0.94,3.85,0.13,2.5,1.71,0.52,0.12,179.0,-4.0
Haywood Highsmith,27,MIA,PF,66,26,1366,153,16.6,0.416,0.191,0.179,0.027,0.018,0.584,0.667,0.475,0.667,0.167,0.636,0.987,0.055,16,0.417,0.438,0,0,329,0.465,76,192,0.396,77,137,0.562,0.581,23,36,0.639,65,145,210,70,53,30,34,117,405,1.16,6.14,58.72,4.98,2.91,2.32,1.15,0.55,0.35,0.36,0.01,41.0,75.0
Dyson Daniels,20,NOP,PG,61,16,1358,139,14.2,0.566,0.238,0.232,0.09,0.006,0.434,0.635,0.528,0.393,0.5,0.526,1.0,0.055,13,0.363,0.408,4,0,311,0.447,42,135,0.311,97,176,0.551,0.514,34,53,0.642,62,174,236,164,85,25,59,101,354,1.03,5.8,52.94,5.1,2.21,2.28,0.69,0.87,0.56,0.47,0.0,50.0,42.0
Andre Drummond,30,CHI,C,79,10,1351,267,2.8,0.994,0.713,0.26,0.021,0.0,0.006,0.614,0.416,0.5,,0.558,,0.16,65,0.0,,3,0,480,0.556,0,3,0.0,267,477,0.56,0.556,129,218,0.592,265,443,708,37,73,48,81,140,663,1.11,8.39,57.56,6.08,0.04,3.38,0.0,2.76,1.63,0.44,,223.0,
Marcus Sasser,23,DET,PG,71,11,1351,219,17.7,0.531,0.088,0.164,0.166,0.113,0.469,0.644,0.452,0.482,0.362,0.318,0.644,0.002,1,0.154,0.432,0,0,512,0.428,90,240,0.375,129,272,0.474,0.516,58,66,0.879,11,114,125,236,44,12,90,103,586,1.03,8.25,54.15,7.21,3.38,3.08,1.27,0.93,0.82,0.68,0.36,61.0,54.0
Kris Murray,23,POR,SF,62,29,1348,145,14.1,0.5,0.287,0.18,0.03,0.003,0.5,0.657,0.333,0.455,0.0,0.5,0.98,0.06,21,0.475,0.299,1,0,366,0.396,49,183,0.268,96,183,0.525,0.463,37,56,0.661,85,139,224,80,53,21,55,92,376,0.93,6.06,48.13,5.9,2.95,2.34,0.79,0.9,0.6,0.5,0.02,46.0,47.0
Miles McBride,23,NYK,PG,68,14,1328,205,17.8,0.414,0.172,0.081,0.099,0.062,0.586,0.679,0.351,0.444,0.357,0.375,0.899,0.035,12,0.395,0.457,3,0,454,0.452,109,266,0.41,96,188,0.511,0.572,43,50,0.86,31,69,100,114,50,7,30,108,562,1.14,8.26,59.03,6.68,3.91,3.01,1.6,0.74,0.63,0.62,0.1,34.0,99.0
Jakob Poeltl,28,TOR,C,50,50,1319,248,3.9,1.0,0.545,0.349,0.106,0.0,0.0,0.786,0.5,0.5,,0.798,,0.074,26,,,0,0,378,0.656,0,0,,248,378,0.656,0.656,59,107,0.551,146,283,429,127,35,76,77,149,555,1.31,11.1,65.28,7.56,0.0,4.96,0.0,2.14,1.18,0.2,,228.0,
Joel Embiid,29,PHI,C,39,39,1309,450,12.3,0.837,0.224,0.189,0.243,0.18,0.163,0.749,0.472,0.473,0.516,0.533,0.833,0.026,19,0.05,0.571,2,0,851,0.529,54,139,0.388,396,712,0.556,0.561,399,452,0.883,95,335,430,219,46,66,150,112,1353,1.12,34.69,64.44,21.82,3.56,11.54,1.38,11.59,10.23,0.47,0.17,349.0,37.0
Jeff Green,37,HOU,PF,78,6,1307,167,14.5,0.563,0.199,0.26,0.077,0.027,0.437,0.767,0.453,0.5,0.1,0.737,0.943,0.068,20,0.45,0.347,4,0,366,0.456,53,160,0.331,114,206,0.553,0.529,122,149,0.819,46,132,178,70,16,31,46,100,509,1.06,6.53,58.97,4.69,2.05,2.14,0.68,1.91,1.56,0.26,0.06,88.0,47.0
Cameron Payne,29,2TM,PG,78,10,1304,208,17.9,0.445,0.141,0.173,0.094,0.037,0.555,0.485,0.47,0.533,0.444,0.452,0.788,0.0,0,0.127,0.265,1,0,481,0.432,104,267,0.39,104,214,0.486,0.541,58,67,0.866,21,96,117,205,42,11,66,126,578,1.08,7.41,56.61,6.17,3.42,2.67,1.33,0.86,0.74,0.55,0.21,49.0,83.0
Gary Harris,29,ORL,SG,54,27,1297,131,19.4,0.31,0.118,0.121,0.037,0.034,0.69,0.686,0.556,0.636,0.4,0.727,0.974,0.02,4,0.429,0.409,1,0,297,0.441,76,205,0.371,55,92,0.598,0.569,34,45,0.756,24,67,91,87,49,14,31,91,372,1.14,6.89,58.71,5.5,3.8,2.43,1.41,0.83,0.63,0.27,0.03,28.0,73.0
Dereck Lively II,19,DAL,C,55,42,1294,221,2.4,0.993,0.75,0.23,0.01,0.003,0.007,0.833,0.515,0.0,1.0,0.81,,0.527,141,1.0,0.0,0,0,296,0.747,0,2,0.0,221,294,0.752,0.747,41,81,0.506,135,243,378,60,36,77,50,144,483,1.49,8.78,72.82,5.38,0.04,4.02,0.0,1.47,0.75,0.19,,202.0,
T.J. McConnell,31,IND,PG,71,4,1291,330,8.5,0.926,0.241,0.403,0.256,0.025,0.074,0.741,0.527,0.493,0.333,0.317,0.778,0.0,0,0.205,0.667,1,0,593,0.556,18,44,0.409,312,549,0.568,0.572,49,62,0.79,36,155,191,390,72,8,108,79,727,1.14,10.24,58.6,8.35,0.62,4.65,0.25,0.87,0.69,0.68,0.22,244.0,-4.0
Aaron Holiday,27,HOU,PG,78,1,1269,186,17.3,0.48,0.122,0.17,0.139,0.048,0.52,0.647,0.437,0.534,0.35,0.255,0.81,0.005,2,0.212,0.478,1,0,417,0.446,84,217,0.387,102,200,0.51,0.547,58,63,0.921,23,100,123,140,42,6,53,125,514,1.09,6.59,57.79,5.35,2.78,2.38,1.08,0.81,0.74,0.74,0.19,28.0,65.0
Cedi Osman,28,SAS,SF,72,3,1269,184,16.7,0.424,0.221,0.151,0.034,0.018,0.576,0.776,0.448,0.154,0.571,0.724,0.965,0.005,2,0.235,0.462,0,0,384,0.479,86,221,0.389,98,163,0.601,0.591,35,52,0.673,25,155,180,119,36,11,47,107,489,1.18,6.79,60.09,5.33,3.07,2.56,1.19,0.72,0.49,0.28,0.04,70.0,82.0
Gradey Dick,20,TOR,SG,60,17,1268,189,17.2,0.458,0.18,0.13,0.072,0.076,0.542,0.638,0.431,0.344,0.412,0.842,0.977,0.034,13,0.378,0.462,3,0,445,0.425,88,241,0.365,101,204,0.495,0.524,44,51,0.863,27,105,132,68,34,2,50,87,510,1.05,8.5,54.55,7.42,4.02,3.15,1.47,0.85,0.73,0.16,0.02,85.0,86.0
Naji Marshall,26,NOP,SF,66,1,1257,170,14.3,0.591,0.218,0.253,0.082,0.038,0.409,0.65,0.43,0.467,0.429,0.563,0.966,0.027,9,0.54,0.42,8,1,367,0.463,58,150,0.387,112,217,0.516,0.542,68,86,0.791,53,187,240,128,49,12,65,91,466,1.08,7.06,57.55,5.56,2.27,2.58,0.88,1.3,1.03,0.44,0.03,68.0,55.0
Kris Dunn,29,UTA,PG,66,32,1249,147,12.6,0.645,0.163,0.419,0.058,0.006,0.355,0.686,0.481,0.389,0.5,0.274,0.951,0.054,17,0.351,0.41,1,0,313,0.47,41,111,0.369,106,202,0.525,0.535,22,32,0.688,50,139,189,254,68,28,79,135,357,1.07,5.41,54.57,4.74,1.68,2.23,0.62,0.48,0.33,0.73,0.05,33.0,36.0
Gordon Hayward,33,2TM,SF,51,28,1245,187,12.1,0.777,0.236,0.238,0.176,0.127,0.223,0.674,0.406,0.451,0.294,0.607,0.946,0.052,19,0.311,0.429,0,0,403,0.464,37,90,0.411,150,313,0.479,0.51,89,120,0.742,38,143,181,158,40,13,66,67,500,1.02,9.8,54.85,7.9,1.76,3.67,0.73,2.35,1.75,0.39,0.05,111.0,32.0
GG Jackson II,19,MEM,PF,48,18,1233,241,15.7,0.492,0.263,0.149,0.039,0.041,0.508,0.676,0.333,0.227,0.261,0.576,0.863,0.076,38,0.224,0.484,1,0,563,0.428,102,286,0.357,139,277,0.502,0.519,115,153,0.752,53,143,196,59,28,24,65,64,699,1.04,14.56,55.45,11.73,5.96,5.02,2.12,3.19,2.4,0.42,0.14,97.0,88.0
Aaron Wiggins,25,OKC,SG,78,4,1228,212,10.7,0.666,0.422,0.186,0.04,0.019,0.334,0.698,0.457,0.467,0.0,0.667,0.968,0.042,12,0.413,0.404,0,0,377,0.562,62,126,0.492,150,251,0.598,0.645,56,71,0.789,60,126,186,86,56,19,56,91,542,1.29,6.95,66.38,4.83,1.62,2.72,0.79,0.91,0.72,0.33,0.03,117.0,59.0
Larry Nance Jr.,31,NOP,C,61,0,1216,138,9.8,0.73,0.411,0.245,0.062,0.012,0.27,0.727,0.525,0.4,0.667,0.766,0.963,0.22,46,0.585,0.421,3,0,241,0.573,27,65,0.415,111,176,0.631,0.629,47,61,0.77,94,213,307,113,61,19,49,98,350,1.26,5.74,65.34,3.95,1.07,2.26,0.44,1.0,0.77,0.23,0.04,88.0,23.0
Duop Reath,27,POR,C,68,20,1214,230,14.5,0.509,0.263,0.218,0.022,0.006,0.491,0.687,0.413,0.545,0.333,0.697,0.989,0.052,23,0.18,0.455,0,0,499,0.461,88,245,0.359,142,254,0.559,0.549,69,93,0.742,93,157,250,67,33,38,52,161,617,1.1,9.07,57.14,7.34,3.6,3.38,1.29,1.37,1.01,0.3,0.01,112.0,87.0
Alec Burks,32,2TM,SG,66,1,1212,210,18.2,0.42,0.086,0.132,0.125,0.077,0.58,0.469,0.307,0.38,0.295,0.5,0.782,0.0,0,0.282,0.366,0,0,569,0.369,124,330,0.376,86,239,0.36,0.478,145,167,0.868,24,126,150,88,28,12,48,75,689,0.96,10.44,53.62,8.62,5.0,3.18,1.88,2.53,2.2,0.5,0.22,36.0,102.0
Kevon Looney,27,GSW,C,74,36,1195,139,4.2,0.996,0.485,0.421,0.06,0.03,0.004,0.681,0.541,0.429,0.429,0.676,,0.12,24,0.0,,1,0,233,0.597,0,1,0.0,139,232,0.599,0.597,56,83,0.675,143,276,419,133,28,29,50,155,334,1.19,4.51,61.96,3.15,0.01,1.88,0.0,1.12,0.76,0.32,,107.0,
David Roddy,22,2TM,PF,65,13,1177,165,12.2,0.599,0.291,0.247,0.049,0.012,0.401,0.639,0.356,0.25,0.0,0.598,0.979,0.042,12,0.311,0.373,1,0,409,0.403,48,164,0.293,117,245,0.478,0.462,47,68,0.691,53,158,211,80,27,11,57,72,425,0.92,6.54,48.41,6.29,2.52,2.54,0.74,1.05,0.72,0.4,0.02,77.0,46.0
Vasilije Micić,30,2TM,PG,60,21,1176,159,15.1,0.584,0.276,0.146,0.086,0.076,0.416,0.706,0.296,0.469,0.464,0.353,0.605,0.003,1,0.084,0.154,0,0,370,0.43,43,154,0.279,116,216,0.537,0.488,61,75,0.813,14,74,88,262,31,7,99,68,422,0.98,7.03,52.36,6.17,2.57,2.65,0.72,1.25,1.02,0.65,0.4,51.0,3.0
Patrick Williams,22,CHI,PF,43,30,1174,159,14.6,0.588,0.267,0.128,0.092,0.1,0.412,0.573,0.326,0.485,0.389,0.55,0.966,0.109,29,0.304,0.422,0,0,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429,1.05,9.98,55.28,8.35,3.44,3.7,1.37,1.53,1.21,0.45,0.03,55.0,56.0
John Konchar,27,MEM,SF,55,23,1173,88,15.1,0.423,0.322,0.091,0.01,0.0,0.577,0.657,0.316,0.0,,0.68,1.0,0.014,3,0.492,0.271,0,0,208,0.423,38,120,0.317,50,88,0.568,0.514,21,25,0.84,72,185,257,110,51,51,46,76,235,1.03,4.27,53.65,3.78,2.18,1.6,0.69,0.45,0.38,0.32,0.0,18.0,38.0
Drew Eubanks,26,PHO,C,75,6,1169,152,4.3,0.988,0.506,0.403,0.055,0.024,0.012,0.742,0.49,0.286,0.0,0.805,1.0,0.336,66,1.0,1.0,0,0,253,0.601,3,3,1.0,149,250,0.596,0.607,72,93,0.774,103,219,322,63,27,61,61,115,379,1.21,5.05,64.47,3.37,0.04,2.03,0.04,1.24,0.96,0.19,0.0,130.0,3.0
Joe Ingles,36,ORL,SF,68,0,1169,99,19.9,0.291,0.079,0.198,0.009,0.004,0.709,0.778,0.311,0.0,1.0,0.448,0.929,0.0,0,0.199,0.469,2,0,227,0.436,70,161,0.435,29,66,0.439,0.59,28,34,0.824,18,124,142,203,43,5,67,88,296,1.18,4.35,61.17,3.34,2.37,1.46,1.03,0.5,0.41,0.55,0.07,-26.0,63.0
Anthony Black,20,ORL,PG,69,33,1164,115,13.0,0.619,0.308,0.162,0.085,0.065,0.381,0.684,0.4,0.286,0.25,0.731,0.919,0.109,25,0.5,0.404,0,0,247,0.466,37,94,0.394,78,153,0.51,0.54,49,80,0.613,33,106,139,91,35,21,56,110,316,1.08,4.58,55.99,3.58,1.36,1.67,0.54,1.16,0.71,0.27,0.08,51.0,29.0
Jordan Hawkins,21,NOP,SG,67,10,1160,174,20.3,0.346,0.083,0.081,0.075,0.107,0.654,0.526,0.351,0.353,0.408,0.738,0.991,0.024,7,0.245,0.466,2,0,456,0.382,109,298,0.366,65,158,0.411,0.501,67,80,0.838,29,119,148,70,19,7,40,72,524,1.0,7.82,53.34,6.81,4.45,2.6,1.63,1.19,1.0,0.26,0.01,39.0,108.0
Trey Lyles,28,SAC,PF,58,0,1158,143,18.8,0.318,0.178,0.1,0.022,0.019,0.682,0.754,0.375,0.571,0.0,0.729,1.0,0.025,6,0.384,0.369,3,0,321,0.445,84,219,0.384,59,102,0.578,0.576,49,70,0.7,61,196,257,72,17,19,38,86,419,1.15,7.22,59.55,5.53,3.78,2.47,1.45,1.21,0.84,0.27,0.0,32.0,84.0
Moses Moody,21,GSW,SG,66,9,1156,194,15.2,0.524,0.179,0.24,0.064,0.04,0.476,0.733,0.475,0.481,0.353,0.582,0.903,0.05,17,0.27,0.315,0,0,420,0.462,72,200,0.36,122,220,0.555,0.548,73,93,0.785,65,131,196,57,42,24,44,90,533,1.1,8.08,57.82,6.36,3.03,2.94,1.09,1.41,1.11,0.42,0.1,80.0,62.0
Jae Crowder,33,MIL,PF,50,25,1156,114,18.6,0.385,0.104,0.148,0.059,0.074,0.615,0.714,0.475,0.5,0.45,0.893,0.966,0.0,0,0.452,0.4,1,0,270,0.422,58,166,0.349,56,104,0.538,0.53,26,36,0.722,31,130,161,66,38,9,23,74,312,1.06,6.24,54.58,5.4,3.32,2.28,1.16,0.72,0.52,0.11,0.03,45.0,55.0
Trayce Jackson-Davis,23,GSW,PF,68,16,1130,233,2.5,0.997,0.648,0.343,0.006,0.0,0.003,0.777,0.561,1.0,,0.751,,0.373,112,0.0,,0,0,332,0.702,0,1,0.0,233,331,0.704,0.702,74,132,0.561,135,206,341,82,29,76,49,108,540,1.4,7.94,69.22,4.88,0.01,3.43,0.0,1.94,1.09,0.25,,208.0,
Malcolm Brogdon,31,POR,PG,39,25,1121,218,15.4,0.599,0.206,0.157,0.117,0.119,0.401,0.608,0.385,0.431,0.322,0.257,0.756,0.002,0,0.121,0.5,0,0,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613,1.04,15.72,56.03,12.72,5.1,5.59,2.1,2.97,2.44,0.74,0.24,62.0,58.0
Dean Wade,27,CLE,PF,54,32,1108,96,22.6,0.129,0.073,0.013,0.017,0.026,0.871,0.765,0.0,0.5,0.333,0.647,0.987,0.03,6,0.351,0.408,0,0,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,1.17,5.39,59.77,4.3,3.74,1.78,1.46,0.48,0.37,0.35,0.01,-18.0,78.0
Josh Richardson,30,MIA,SG,43,6,1103,154,17.9,0.452,0.118,0.159,0.101,0.075,0.548,0.683,0.582,0.457,0.462,0.511,0.97,0.023,7,0.226,0.395,1,0,347,0.444,66,190,0.347,88,157,0.561,0.539,51,54,0.944,18,103,121,105,24,14,36,76,425,1.08,9.88,57.31,8.07,4.42,3.58,1.53,1.26,1.19,0.49,0.03,39.0,63.0
Davion Mitchell,25,SAC,PG,72,4,1101,146,16.2,0.511,0.155,0.192,0.09,0.074,0.489,0.76,0.5,0.31,0.458,0.472,0.965,0.0,0,0.291,0.457,0,0,323,0.452,57,158,0.361,89,165,0.539,0.54,30,42,0.714,19,76,95,134,17,3,43,85,379,1.08,5.26,55.49,4.49,2.19,2.03,0.79,0.58,0.42,0.53,0.04,36.0,53.0
Dario Šarić,29,GSW,C,64,9,1098,181,16.1,0.492,0.152,0.263,0.041,0.036,0.508,0.797,0.48,0.375,0.357,0.654,1.0,0.003,1,0.117,0.261,0,0,388,0.466,74,197,0.376,107,191,0.56,0.562,79,93,0.849,73,210,283,144,31,10,78,112,515,1.12,8.05,60.03,6.06,3.08,2.83,1.16,1.45,1.23,0.35,0.0,72.0,74.0
James Wiseman,22,DET,C,63,6,1091,187,4.8,0.993,0.446,0.433,0.079,0.036,0.007,0.787,0.515,0.375,0.273,0.706,,0.282,81,0.0,,1,0,305,0.613,0,2,0.0,187,303,0.617,0.613,72,102,0.706,110,226,336,54,12,39,66,141,446,1.23,7.08,63.74,4.84,0.03,2.97,0.0,1.62,1.14,0.29,,158.0,
Dante Exum,28,DAL,PG,55,17,1088,161,11.9,0.642,0.328,0.238,0.053,0.023,0.358,0.697,0.375,0.688,0.143,0.528,0.981,0.056,14,0.426,0.457,2,0,302,0.533,53,108,0.491,108,194,0.557,0.621,53,68,0.779,25,124,149,157,22,5,49,85,428,1.24,7.78,64.47,5.49,1.96,2.93,0.96,1.24,0.96,0.47,0.02,61.0,51.0
Sam Merrill,27,CLE,SG,61,1,1069,158,23.6,0.099,0.041,0.038,0.015,0.005,0.901,0.5,0.467,0.0,0.0,0.8,0.965,0.0,0,0.195,0.449,1,0,393,0.402,143,354,0.404,15,39,0.385,0.584,26,28,0.929,22,98,120,108,19,4,19,72,485,1.17,7.95,59.83,6.44,5.8,2.59,2.34,0.46,0.43,0.2,0.04,-5.0,139.0
Shaedon Sharpe,20,POR,SG,32,25,1059,176,11.5,0.678,0.37,0.198,0.044,0.065,0.322,0.672,0.299,0.267,0.318,0.426,0.875,0.083,25,0.349,0.342,1,0,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510,0.95,15.94,52.43,13.56,5.62,5.5,1.88,3.72,3.06,0.57,0.12,59.0,48.0
Dennis Smith Jr.,26,BRK,PG,56,2,1059,147,14.9,0.585,0.235,0.168,0.099,0.083,0.415,0.569,0.37,0.372,0.417,0.466,0.717,0.071,26,0.156,0.393,3,0,338,0.435,32,109,0.294,115,229,0.502,0.482,43,58,0.741,50,114,164,203,68,12,68,121,369,0.96,6.59,50.75,6.04,1.95,2.62,0.57,1.04,0.77,0.53,0.28,62.0,4.0
Jordan Goodwin,25,2TM,PG,57,12,1055,141,14.0,0.631,0.215,0.204,0.136,0.076,0.369,0.561,0.308,0.365,0.345,0.293,0.857,0.008,1,0.248,0.343,0,0,382,0.369,42,141,0.298,99,241,0.411,0.424,44,59,0.746,88,165,253,155,48,18,56,76,368,0.85,6.46,45.1,6.7,2.47,2.47,0.74,1.04,0.77,0.71,0.14,28.0,28.0
Marvin Bagley III,24,2TM,C,50,25,1053,239,5.1,0.944,0.544,0.292,0.091,0.017,0.056,0.721,0.454,0.405,0.143,0.665,1.0,0.189,71,0.304,0.429,0,0,408,0.586,9,23,0.391,230,385,0.597,0.597,96,126,0.762,130,182,312,55,20,33,59,81,583,1.19,11.66,62.9,8.16,0.46,4.78,0.18,2.52,1.92,0.34,0.0,196.0,9.0
Torrey Craig,33,CHI,SF,53,14,1049,108,16.8,0.39,0.219,0.124,0.02,0.028,0.61,0.582,0.419,0.2,0.286,0.583,0.967,0.02,3,0.451,0.362,0,0,251,0.43,60,153,0.392,48,98,0.49,0.55,27,36,0.75,69,148,217,58,30,21,32,110,303,1.1,5.72,56.78,4.74,2.89,2.04,1.13,0.68,0.51,0.42,0.03,6.0,57.0
Jalen Smith,23,IND,C,61,14,1047,234,11.7,0.635,0.41,0.177,0.015,0.033,0.365,0.765,0.557,0.833,0.385,0.671,1.0,0.129,49,0.167,0.417,1,0,395,0.592,61,144,0.424,173,251,0.689,0.67,72,104,0.692,112,225,337,63,17,38,44,124,601,1.34,9.85,68.18,6.48,2.36,3.84,1.0,1.7,1.18,0.33,0.0,140.0,61.0
Dalano Banton,24,2TM,PG,54,9,1047,202,12.6,0.602,0.232,0.268,0.068,0.034,0.398,0.655,0.396,0.294,0.235,0.336,0.847,0.034,17,0.146,0.345,0,0,500,0.404,59,199,0.296,143,301,0.475,0.463,94,120,0.783,41,137,178,127,33,20,77,64,557,0.93,10.31,50.38,9.26,3.69,3.74,1.09,2.22,1.74,0.66,0.15,77.0,44.0
Ziaire Williams,22,MEM,SF,51,15,1038,150,15.9,0.5,0.22,0.127,0.085,0.069,0.5,0.747,0.25,0.281,0.346,0.641,0.897,0.095,32,0.37,0.357,2,0,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420,0.95,8.24,51.09,7.41,3.71,2.94,1.14,1.47,1.22,0.36,0.1,56.0,48.0
Jae'Sean Tate,28,HOU,SF,65,9,1031,108,10.8,0.664,0.336,0.301,0.009,0.017,0.336,0.61,0.551,0.0,0.0,0.506,1.0,0.026,4,0.545,0.333,0,0,229,0.472,23,77,0.299,85,152,0.559,0.522,26,39,0.667,61,136,197,64,42,15,37,137,265,1.04,4.08,53.83,3.52,1.18,1.66,0.35,0.6,0.4,0.49,0.0,36.0,23.0
Kenrich Williams,29,OKC,PF,69,1,1029,131,15.4,0.496,0.296,0.104,0.039,0.057,0.504,0.699,0.379,0.182,0.25,0.733,0.964,0.032,7,0.312,0.409,1,0,280,0.468,56,141,0.397,75,139,0.54,0.568,7,14,0.5,61,148,209,93,38,9,32,101,325,1.14,4.71,56.79,4.06,2.04,1.9,0.81,0.2,0.1,0.27,0.04,48.0,52.0
Jose Alvarado,25,NOP,PG,56,0,1028,142,17.7,0.4,0.136,0.188,0.067,0.009,0.6,0.617,0.415,0.304,0.333,0.578,0.885,0.0,0,0.28,0.483,1,0,345,0.412,78,207,0.377,64,138,0.464,0.525,35,52,0.673,25,103,128,117,59,15,40,89,397,1.05,7.09,53.96,6.16,3.7,2.54,1.39,0.93,0.62,0.42,0.12,22.0,66.0
Quentin Grimes,23,2TM,SG,51,18,1025,122,19.4,0.268,0.168,0.049,0.018,0.034,0.732,0.582,0.375,0.167,0.182,0.732,0.963,0.021,4,0.317,0.355,0,0,328,0.372,81,240,0.338,41,88,0.466,0.495,34,45,0.756,15,85,100,66,35,7,28,75,359,0.99,7.04,51.61,6.43,4.71,2.39,1.59,0.88,0.67,0.27,0.04,14.0,77.0
De'Anthony Melton,25,PHI,SG,38,33,1023,139,17.6,0.406,0.181,0.153,0.031,0.042,0.594,0.538,0.345,0.273,0.333,0.484,0.792,0.028,10,0.178,0.342,0,0,360,0.386,77,214,0.36,62,146,0.425,0.493,66,79,0.835,28,113,141,114,60,16,39,84,421,0.99,11.08,53.32,9.47,5.63,3.66,2.03,2.08,1.74,0.52,0.21,10.0,56.0
Daniel Theis,31,2TM,C,60,3,1015,156,9.5,0.758,0.413,0.232,0.099,0.014,0.242,0.719,0.426,0.483,0.0,0.792,1.0,0.157,42,0.239,0.353,1,0,293,0.532,26,71,0.366,130,222,0.586,0.577,38,50,0.76,85,159,244,61,21,51,42,127,376,1.15,6.27,59.68,4.88,1.18,2.6,0.43,0.83,0.63,0.21,0.0,109.0,26.0
Lonnie Walker IV,25,BRK,SG,58,0,1011,208,17.7,0.449,0.163,0.126,0.063,0.098,0.551,0.663,0.355,0.387,0.354,0.462,0.712,0.018,5,0.229,0.452,1,0,492,0.423,104,271,0.384,104,221,0.471,0.528,45,59,0.763,13,114,127,74,32,20,51,71,565,1.06,9.74,54.54,8.48,4.67,3.59,1.79,1.02,0.78,0.54,0.29,50.0,75.0
Talen Horton-Tucker,23,UTA,PG,51,11,1009,184,13.8,0.609,0.187,0.312,0.082,0.028,0.391,0.621,0.407,0.237,0.154,0.242,0.8,0.037,12,0.203,0.351,2,0,465,0.396,60,182,0.33,124,283,0.438,0.46,88,109,0.807,21,100,121,177,45,19,65,94,516,0.92,10.12,50.3,9.12,3.57,3.61,1.18,2.14,1.73,0.76,0.2,48.0,40.0
Killian Hayes,22,DET,PG,42,31,1008,117,14.7,0.739,0.06,0.226,0.343,0.11,0.261,0.706,0.469,0.423,0.387,0.484,0.864,0.018,5,0.284,0.381,0,0,283,0.413,22,74,0.297,95,209,0.455,0.452,33,50,0.66,11,108,119,205,36,20,51,75,289,0.9,6.88,47.38,6.74,1.76,2.79,0.52,1.19,0.79,0.52,0.14,43.0,8.0
Jevon Carter,28,CHI,PG,72,0,1004,138,20.4,0.359,0.041,0.088,0.134,0.096,0.641,0.333,0.438,0.469,0.543,0.689,0.87,0.0,0,0.252,0.39,1,0,365,0.378,77,234,0.329,61,131,0.466,0.484,4,7,0.571,11,49,60,94,37,16,36,71,357,0.97,4.96,48.49,5.07,3.25,1.92,1.07,0.1,0.06,0.31,0.13,30.0,64.0
Luke Kennard,27,MEM,SG,39,22,999,141,21.8,0.244,0.06,0.054,0.079,0.051,0.756,0.684,0.235,0.44,0.375,0.765,0.944,0.0,0,0.118,0.393,0,0,315,0.448,107,238,0.45,34,77,0.442,0.617,40,45,0.889,11,102,113,136,20,2,54,39,429,1.23,11.0,64.07,8.08,6.1,3.62,2.74,1.15,1.03,0.24,0.06,10.0,101.0
Garrison Mathews,27,ATL,SG,66,5,992,103,22.6,0.146,0.044,0.031,0.053,0.018,0.854,0.8,0.0,0.583,0.75,0.722,0.976,0.0,0,0.316,0.459,0,0,226,0.456,85,193,0.44,18,33,0.545,0.644,34,42,0.81,17,75,92,37,20,8,19,115,325,1.29,4.92,66.47,3.42,2.92,1.56,1.29,0.64,0.52,0.28,0.02,-10.0,83.0
Jaden Hardy,21,DAL,SG,73,7,989,195,16.4,0.532,0.184,0.134,0.129,0.086,0.468,0.568,0.344,0.435,0.366,0.404,0.84,0.023,9,0.254,0.351,4,0,479,0.407,81,224,0.362,114,255,0.447,0.492,59,76,0.776,20,111,131,109,22,4,62,80,530,0.98,7.26,51.71,6.56,3.07,2.67,1.11,1.04,0.81,0.6,0.16,54.0,65.0
Tre Mann,22,2TM,PG,41,28,987,145,15.1,0.601,0.237,0.212,0.104,0.047,0.399,0.667,0.433,0.424,0.333,0.194,0.766,0.022,4,0.198,0.44,0,0,316,0.459,47,126,0.373,98,190,0.516,0.533,45,59,0.763,20,129,149,165,51,3,65,48,382,1.07,9.32,55.85,7.71,3.07,3.54,1.15,1.44,1.1,0.81,0.23,17.0,24.0
